[2026-08-30T11:20:00+00:00] RUN paper-full-20260830 | minimal-diff-notebook | FULL_PAPER_RUN | artifacts=D:\Rayan Paper materials\artifacts_runs\minimal-diff-notebook\FULL_PAPER_RUN\paper-full-20260830 | cuda=0MiB allocated/0MiB reserved
[2026-08-30T11:21:29+00:00] epoch 12/40 loss=0.223711 elapsed=6.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:30+00:00] epoch 13/40 loss=0.230336 elapsed=6.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:30+00:00] epoch 14/40 loss=0.243710 elapsed=7.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:31+00:00] epoch 15/40 loss=0.259382 elapsed=7.5s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:31+00:00] epoch 16/40 loss=0.277847 elapsed=8.0s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:32+00:00] epoch 17/40 loss=0.295657 elapsed=8.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:32+00:00] epoch 18/40 loss=0.320745 elapsed=8.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:33+00:00] epoch 19/40 loss=0.344616 elapsed=9.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:33+00:00] epoch 20/40 loss=0.370070 elapsed=9.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:34+00:00] epoch 21/40 loss=0.396668 elapsed=10.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:34+00:00] epoch 22/40 loss=0.424860 elapsed=10.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:35+00:00] epoch 23/40 loss=0.452849 elapsed=11.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:35+00:00] epoch 24/40 loss=0.483085 elapsed=11.9s | cuda=583MiB allocated/4822MiB reserved
